position,velocity,current
-647,5,40
-734,3,27
-863,4,163
-1000,8,81
-1148,5,96
-1249,5,28
-1324,6,555
-1370,3,28
-1409,2,33
-1442,2,34
-1465,2,57
-1476,0,38
-1479,0,47
-1480,0,52
-1480,1,56
-1480,0,58
-1481,0,60
-1481,0,62
-1480,-1,64
-1475,0,65
-1468,0,67
-1463,0,68
-1460,0,68
-1459,-1,69
-1459,0,70
-1459,0,71
-1459,0,72
-1459,0,72
-1459,0,73
-1458,0,74
-1458,0,75
-1457,0,75
-1457,0,76
-1456,0,77
-1456,0,77
-1456,0,78
-1456,0,78
-1456,0,79
-1456,0,79
-1456,0,80
-1456,0,80
-1456,0,81
-1455,-1,82
-1456,0,82
-1456,0,82
-1456,0,83
-1456,0,84
-1455,0,84
-1455,0,84
-1455,0,85
-1454,-1,85
-1454,0,86
-1454,0,86
-1454,0,87
-1453,0,87
-1450,1,88
-1445,0,88
-1440,-1,89
-1435,-1,89
-1429,0,89
-1420,-1,90
-1411,0,90
-1402,-1,90
-1392,-1,91
-1378,-1,92
-1355,-1,93
-1323,-2,94
-1287,-2,94
-1246,-1,95
-1192,-4,95
-1115,-6,96
-1017,-4,97
-937,-3,97
-873,-3,97
-789,-4,60
-740,-2,56
-699,-3,59
-657,-3,62
-609,-2,64
-552,-2,65
-467,-5,67
-370,-6,70
-294,-3,70
-220,-4,70
-146,-4,71
-49,-2,72
-5,-2,72
23,-2,72
48,-2,73
75,0,74
104,-2,74
132,-2,75
164,-1,75
206,-2,76
270,-5,77
356,-6,78
423,-3,78
473,-2,79
513,-2,79
549,-1,80
617,-2,80
651,-2,81
683,-2,81
716,-1,82
756,-2,83
797,-2,84
842,-2,84
898,-4,84
979,-6,85
1069,-3,86
1142,-3,85
1208,-3,86
1293,-4,151
1340,-2,118
1373,-2,118
1395,-1,117
1411,0,117
1428,-1,117
1448,-2,118
1472,-1,118
1495,-1,118
1514,-1,118
1534,-2,118
1554,-1,118
1576,-2,119
1600,-1,119
1633,-2,119
1676,-2,119
1720,-2,119
1757,-2,119
1789,-1,120
1821,-2,120
1850,-2,120
1877,0,120
1905,-2,120
1935,-1,120
1998,-2,121
2030,-2,121
2055,-2,121
2076,-1,121
2096,-1,121
2118,-1,121
2143,-1,122
2170,-1,122
2195,-1,122
2219,-2,122
2244,-2,122
2274,-2,122
2321,-3,122
2382,-4,123
2446,-4,122
2503,-2,122
2550,-2,122
2593,-3,122
2633,-1,123
2701,-1,50
2733,-2,51
2755,-2,55
2772,-1,58
2786,0,60
2798,-1,62
2807,0,63
2815,0,65
2822,0,66
2828,0,67
2834,0,68
2839,0,69
2843,-1,70
2846,-1,71
2847,0,71
2848,0,72
2848,1,73
2848,0,74
2848,0,74
2848,0,75
2849,0,76
2848,1,76
2848,0,77
2847,0,77
2839,1,77
2823,2,78
2794,2,77
2750,3,77
2688,3,78
2568,7,32
2400,12,26
2252,6,62
2145,2,57
2037,8,58
1829,19,802
1543,10,134
1367,7,36
987,29,498
739,9,32
534,7,627
182,15,107
-34,14,138
-459,18,594
-676,4,504
-878,11,490
-1208,17,96
-1398,6,65
-1721,26,78
-2019,10,36
-2142,6,77
-2329,10,562
-2565,12,22
-2699,5,514
-2767,3,38
-2833,4,32
-2867,1,48
-2868,0,39
-2867,0,48
-2867,0,51
-2867,0,55
-2868,0,58
-2859,0,61
-2847,0,63
-2831,0,64
-2811,0,66
-2781,-2,68
-2741,-3,69
-2693,-1,70
-2650,-2,71
-2615,-2,71
-2586,-1,71
-2552,-1,72
-2515,-3,73
-2484,-2,74
-2458,-1,74
-2435,-1,75
-2418,0,75
-2407,0,76
-2401,-1,76
-2398,0,77
-2394,1,77
-2384,0,78
-2369,-2,79
-2350,-2,80
-2329,-1,80
-2298,-1,81
-2259,-2,82
-2183,-3,83
-2139,-2,84
-2098,-2,84
-2053,-3,85
-1997,-2,87
-1913,-5,88
-1773,-10,91
-1628,-7,92
-1497,-3,91
-1405,-4,93
-1321,-6,91
-1207,-7,94
-1047,-6,95
-893,-8,96
-754,-7,98
-650,-4,98
-488,-12,99
-193,-15,100
7,-6,108
133,-5,102
342,-15,108
549,-9,113
699,-5,112
816,-6,105
1096,-23,108
1358,-9,122
1466,1,118
1605,-11,105
1827,-15,126
2002,-5,118
2095,-3,108
2175,-5,107
2261,-5,104
2377,-5,104
2496,-4,102
2561,-3,101
2602,-2,100
2634,-1,101
2655,-1,101
2695,-1,55
2696,0,57
2697,0,59
2697,0,61
2698,0,63
2699,-1,64
2699,1,66
2700,0,67
2699,0,68
2699,0,69
2700,-1,70
2700,0,70
2699,1,71
2699,1,72
2700,0,73
2700,0,74
2699,0,74
2699,0,75
2699,1,76
2699,1,76
2699,0,77
2700,0,77
2699,0,78
2699,0,79
2699,0,79
2700,0,80
2699,0,80
2700,-1,81
2699,0,81
2700,-1,82
2700,-1,82
2699,0,82
2700,0,83
2700,-1,83
2700,0,84
